"Additional Information","更多信息"
"All Categories","所有類別"
"Back To Top","返回頁首"
"Background Image","背景圖像"
"Box/Wide","盒/寬"
"Buy Now","立即購買"
"Not Now","不是現在"
"QR Code","QR碼"
"Quickshop","快速開店"
"Register","註冊"
"Reset","重置"
"View cart & checkout","查看購物車和結帳"
"You have no items in your shopping cart.","你的購物車中沒有商品."
"There is <a href="%s">1 item</a> in your shopping cart.","有<a href="%s">1個項目</a>您的購物車."
"There are <a href="%s">%s items</a> in your shopping cart.","有<a href="%s">%s 的項目</a>您的購物車."
"Top","熱門"
"My Account","我的帳戶"
"Log out","註銷"
"Login","註冊"
"Main Color","主色"
"Main Font","主要字體"
"Log In","註冊"
"Sign up","報名"
"Sign Up","報名"
"Storeview","Storeview"
"Cart","車"
"Don't have an account?","不要有一個帳戶"
"Full Slideshow","全部幻燈片"
"If you have an account with us, please log in","如果你有我們的帳戶，請登陸"
"Shop By Category","店按類別"
"Shop Now","現在店"
"Sign up for your email ...","訂閱電子郵件..."